epoch,loss,train_reward,val_reward,lr,temperature
1,-0.0047,0.0137,0.0148,9.99e-05,2.0
2,-0.0045,0.0125,0.0148,9.961e-05,1.98
3,-0.0046,0.0137,0.0148,9.912e-05,1.959
4,-0.0059,0.0137,0.0148,9.844e-05,1.939
5,-0.0044,0.0158,0.0197,9.758e-05,1.918
6,-0.0049,0.0144,0.0197,9.652e-05,1.898
7,-0.0044,0.0151,0.0197,9.529e-05,1.878
8,-0.0042,0.0153,0.0197,9.388e-05,1.857
9,-0.0067,0.0143,0.0197,9.229e-05,1.837
10,-0.0043,0.0131,0.0197,9.055e-05,1.816
11,-0.0045,0.0159,0.0148,8.864e-05,1.796
12,-0.0043,0.014,0.0197,8.658e-05,1.776
13,-0.0044,0.015,0.0197,8.439e-05,1.755
14,-0.0043,0.0132,0.0197,8.205e-05,1.735
15,-0.0048,0.0144,0.0197,7.96e-05,1.714
16,-0.0045,0.0158,0.0197,7.702e-05,1.694
17,-0.005,0.0155,0.0197,7.435e-05,1.673
18,-0.0046,0.0141,0.0197,7.158e-05,1.653
19,-0.0059,0.0144,0.0148,6.872e-05,1.633
20,-0.0059,0.0137,0.0148,6.58e-05,1.612
21,-0.006,0.0132,0.0148,6.281e-05,1.592
22,-0.0051,0.013,0.0197,5.978e-05,1.571
23,-0.0047,0.0148,0.0148,5.67e-05,1.551
24,-0.0058,0.014,0.0218,5.361e-05,1.531
25,-0.0053,0.0146,0.0148,5.05e-05,1.51
26,-0.0052,0.0144,0.0197,4.739e-05,1.49
27,-0.0049,0.0155,0.0197,4.43e-05,1.469
28,-0.0049,0.0137,0.0197,4.122e-05,1.449
29,-0.0059,0.0132,0.0197,3.819e-05,1.429
30,-0.0049,0.0155,0.0148,3.52e-05,1.408
31,-0.0055,0.0141,0.0197,3.228e-05,1.388
32,-0.0052,0.0147,0.0197,2.942e-05,1.367
33,-0.0049,0.0161,0.0197,2.665e-05,1.347
34,-0.0052,0.0146,0.0148,2.398e-05,1.327
35,-0.0047,0.0151,0.0148,2.14e-05,1.306
36,-0.0049,0.0154,0.0197,1.895e-05,1.286
37,-0.0049,0.0169,0.0148,1.661e-05,1.265
38,-0.005,0.0155,0.0148,1.442e-05,1.245
39,-0.0058,0.0156,0.0148,1.236e-05,1.224
40,-0.005,0.0158,0.0197,1.045e-05,1.204
41,-0.0049,0.0156,0.0197,8.71e-06,1.184
42,-0.005,0.0162,0.0148,7.12e-06,1.163
43,-0.0058,0.0165,0.0148,5.71e-06,1.143
44,-0.0053,0.0154,0.0197,4.48e-06,1.122
45,-0.0049,0.0142,0.0148,3.42e-06,1.102
46,-0.0049,0.0148,0.0197,2.56e-06,1.082
47,-0.0049,0.0176,0.0148,1.88e-06,1.061
48,-0.005,0.0151,0.0148,1.39e-06,1.041
49,-0.0055,0.0154,0.0148,1.1e-06,1.02
50,-0.005,0.0162,0.0148,1e-06,1.0
